id,category,base,treatment,data_needed,limitation,U,T,S,D,C,M,P,score,scan_score,research_score,readiness,release_gate
ARC-03-05,architecture,Question-first research workspace,comparison-led navigation,"query resolution, retrieval, cited answer contract",Weak questions or retrieval can hide what the user did not know to ask; comparison requires proposition contract,4,4,2,5,5,4,2,76.0,71.6,81.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-03-06,architecture,Question-first research workspace,timeline as secondary workspace,"query resolution, retrieval, cited answer contract",Weak questions or retrieval can hide what the user did not know to ask; date scope persists across entities,4,4,3,5,5,4,2,78.8,76.4,82.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-03-07,architecture,Question-first research workspace,universal search as default entry,"query resolution, retrieval, cited answer contract",Weak questions or retrieval can hide what the user did not know to ask; unknown-unknown discovery becomes harder,4,4,2,5,5,4,2,76.0,71.6,81.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-03-08,architecture,Question-first research workspace,customizable landing panels,"query resolution, retrieval, cited answer contract",Weak questions or retrieval can hide what the user did not know to ask; preferences and competing priorities,4,4,2,5,5,3,2,74.0,69.2,80.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-03-09,architecture,Question-first research workspace,preserve current card grid exactly,"query resolution, retrieval, cited answer contract",Weak questions or retrieval can hide what the user did not know to ask; minimal migration; duplicated prose persists,4,4,2,4,5,4,4,76.4,72.0,79.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-03-10,architecture,Question-first research workspace,source and trust rail everywhere,"query resolution, retrieval, cited answer contract","Weak questions or retrieval can hide what the user did not know to ask; inline caveat, full diagnostics on demand",4,5,3,5,5,4,2,83.2,80.8,87.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-04-01,architecture,Debate-first intelligence desk,retain four-tab editorial shell,adjudicated claim pairs and shared propositions,Disagreement may dominate quiet but consequential developments; reuse stable routes and typography,5,4,3,5,5,4,3,84.8,81.2,88.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-04-02,architecture,Debate-first intelligence desk,briefing plus persistent desktop index,adjudicated claim pairs and shared propositions,Disagreement may dominate quiet but consequential developments; desktop split pane; mobile sequential fallback,5,4,3,5,5,4,2,83.2,80.0,87.2,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-04-03,architecture,Debate-first intelligence desk,single long research canvas,adjudicated claim pairs and shared propositions,Disagreement may dominate quiet but consequential developments; in-page anchors but scroll burden,5,4,2,5,4,4,2,78.4,73.6,82.8,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-04-04,architecture,Debate-first intelligence desk,two-minute/deep-research modes,adjudicated claim pairs and shared propositions,Disagreement may dominate quiet but consequential developments; remember mode; avoid duplicating content,5,4,4,5,5,4,2,86.0,84.8,88.8,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-04-05,architecture,Debate-first intelligence desk,comparison-led navigation,adjudicated claim pairs and shared propositions,Disagreement may dominate quiet but consequential developments; comparison requires proposition contract,5,4,2,5,5,4,2,80.4,75.2,85.6,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-04-06,architecture,Debate-first intelligence desk,timeline as secondary workspace,adjudicated claim pairs and shared propositions,Disagreement may dominate quiet but consequential developments; date scope persists across entities,5,4,3,5,5,4,2,83.2,80.0,87.2,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-04-07,architecture,Debate-first intelligence desk,universal search as default entry,adjudicated claim pairs and shared propositions,Disagreement may dominate quiet but consequential developments; unknown-unknown discovery becomes harder,5,4,2,5,5,4,2,80.4,75.2,85.6,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-04-08,architecture,Debate-first intelligence desk,customizable landing panels,adjudicated claim pairs and shared propositions,Disagreement may dominate quiet but consequential developments; preferences and competing priorities,5,4,2,5,5,3,2,78.4,72.8,84.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-04-09,architecture,Debate-first intelligence desk,preserve current card grid exactly,adjudicated claim pairs and shared propositions,Disagreement may dominate quiet but consequential developments; minimal migration; duplicated prose persists,5,4,2,4,5,4,4,80.8,75.6,84.0,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-04-10,architecture,Debate-first intelligence desk,source and trust rail everywhere,adjudicated claim pairs and shared propositions,"Disagreement may dominate quiet but consequential developments; inline caveat, full diagnostics on demand",5,5,3,5,5,4,2,87.6,84.4,92.0,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-05-01,architecture,Timeline-first observatory,retain four-tab editorial shell,"comparable periods, publication dates, event lineage",Chronology is not strategic relevance; reuse stable routes and typography,4,4,3,5,4,4,4,80.0,77.2,82.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-05-02,architecture,Timeline-first observatory,briefing plus persistent desktop index,"comparable periods, publication dates, event lineage",Chronology is not strategic relevance; desktop split pane; mobile sequential fallback,4,4,3,5,4,4,3,78.4,76.0,81.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-05-03,architecture,Timeline-first observatory,single long research canvas,"comparable periods, publication dates, event lineage",Chronology is not strategic relevance; in-page anchors but scroll burden,4,4,2,5,3,4,3,73.6,69.6,76.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-05-04,architecture,Timeline-first observatory,two-minute/deep-research modes,"comparable periods, publication dates, event lineage",Chronology is not strategic relevance; remember mode; avoid duplicating content,4,4,4,5,4,4,3,81.2,80.8,82.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-05-05,architecture,Timeline-first observatory,comparison-led navigation,"comparable periods, publication dates, event lineage",Chronology is not strategic relevance; comparison requires proposition contract,4,4,2,5,5,4,3,77.6,72.8,82.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-05-06,architecture,Timeline-first observatory,timeline as secondary workspace,"comparable periods, publication dates, event lineage",Chronology is not strategic relevance; date scope persists across entities,4,4,3,5,4,4,3,78.4,76.0,81.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-05-07,architecture,Timeline-first observatory,universal search as default entry,"comparable periods, publication dates, event lineage",Chronology is not strategic relevance; unknown-unknown discovery becomes harder,4,4,2,5,4,4,3,75.6,71.2,79.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-05-08,architecture,Timeline-first observatory,customizable landing panels,"comparable periods, publication dates, event lineage",Chronology is not strategic relevance; preferences and competing priorities,4,4,2,5,4,3,3,73.6,68.8,78.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-05-09,architecture,Timeline-first observatory,preserve current card grid exactly,"comparable periods, publication dates, event lineage",Chronology is not strategic relevance; minimal migration; duplicated prose persists,4,4,2,4,4,4,5,76.0,71.6,78.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-05-10,architecture,Timeline-first observatory,source and trust rail everywhere,"comparable periods, publication dates, event lineage","Chronology is not strategic relevance; inline caveat, full diagnostics on demand",4,5,3,5,4,4,3,82.8,80.4,86.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-06-01,architecture,Voice-first expert directory,retain four-tab editorial shell,"verified speakers, expertise basis, claims",May overemphasize familiar personalities and omit emerging issues; reuse stable routes and typography,3,4,4,5,4,4,4,78.4,78.4,79.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-06-02,architecture,Voice-first expert directory,briefing plus persistent desktop index,"verified speakers, expertise basis, claims",May overemphasize familiar personalities and omit emerging issues; desktop split pane; mobile sequential fallback,3,4,4,5,4,4,3,76.8,77.2,78.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-06-03,architecture,Voice-first expert directory,single long research canvas,"verified speakers, expertise basis, claims",May overemphasize familiar personalities and omit emerging issues; in-page anchors but scroll burden,3,4,3,5,3,4,3,72.0,70.8,74.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-06-04,architecture,Voice-first expert directory,two-minute/deep-research modes,"verified speakers, expertise basis, claims",May overemphasize familiar personalities and omit emerging issues; remember mode; avoid duplicating content,3,4,5,5,4,4,3,79.6,82.0,80.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-06-05,architecture,Voice-first expert directory,comparison-led navigation,"verified speakers, expertise basis, claims",May overemphasize familiar personalities and omit emerging issues; comparison requires proposition contract,3,4,3,5,5,4,3,76.0,74.0,79.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-06-06,architecture,Voice-first expert directory,timeline as secondary workspace,"verified speakers, expertise basis, claims",May overemphasize familiar personalities and omit emerging issues; date scope persists across entities,3,4,4,5,4,4,3,76.8,77.2,78.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-06-07,architecture,Voice-first expert directory,universal search as default entry,"verified speakers, expertise basis, claims",May overemphasize familiar personalities and omit emerging issues; unknown-unknown discovery becomes harder,3,4,3,5,4,4,3,74.0,72.4,76.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-06-08,architecture,Voice-first expert directory,customizable landing panels,"verified speakers, expertise basis, claims",May overemphasize familiar personalities and omit emerging issues; preferences and competing priorities,3,4,3,5,4,3,3,72.0,70.0,75.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-06-09,architecture,Voice-first expert directory,preserve current card grid exactly,"verified speakers, expertise basis, claims",May overemphasize familiar personalities and omit emerging issues; minimal migration; duplicated prose persists,3,4,3,4,4,4,5,74.4,72.8,75.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-06-10,architecture,Voice-first expert directory,source and trust rail everywhere,"verified speakers, expertise basis, claims","May overemphasize familiar personalities and omit emerging issues; inline caveat, full diagnostics on demand",3,5,4,5,4,4,3,81.2,81.6,83.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-07-01,architecture,Source-first listening library,retain four-tab editorial shell,"canonical shows, episodes, source links",Shifts the synthesis burden back to the reader; reuse stable routes and typography,2,4,4,4,3,4,4,69.2,71.2,68.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-07-02,architecture,Source-first listening library,briefing plus persistent desktop index,"canonical shows, episodes, source links",Shifts the synthesis burden back to the reader; desktop split pane; mobile sequential fallback,2,4,4,5,3,4,3,70.4,72.0,71.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-07-03,architecture,Source-first listening library,single long research canvas,"canonical shows, episodes, source links",Shifts the synthesis burden back to the reader; in-page anchors but scroll burden,2,4,3,5,2,4,3,65.6,65.6,66.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-07-04,architecture,Source-first listening library,two-minute/deep-research modes,"canonical shows, episodes, source links",Shifts the synthesis burden back to the reader; remember mode; avoid duplicating content,2,4,5,5,3,4,3,73.2,76.8,72.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-07-05,architecture,Source-first listening library,comparison-led navigation,"canonical shows, episodes, source links",Shifts the synthesis burden back to the reader; comparison requires proposition contract,2,4,3,4,4,4,3,66.8,66.8,68.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-07-06,architecture,Source-first listening library,timeline as secondary workspace,"canonical shows, episodes, source links",Shifts the synthesis burden back to the reader; date scope persists across entities,2,4,4,5,3,4,3,70.4,72.0,71.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-07-07,architecture,Source-first listening library,universal search as default entry,"canonical shows, episodes, source links",Shifts the synthesis burden back to the reader; unknown-unknown discovery becomes harder,2,4,3,5,3,4,3,67.6,67.2,69.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-07-08,architecture,Source-first listening library,customizable landing panels,"canonical shows, episodes, source links",Shifts the synthesis burden back to the reader; preferences and competing priorities,2,4,3,4,3,3,3,62.8,62.8,64.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-07-09,architecture,Source-first listening library,preserve current card grid exactly,"canonical shows, episodes, source links",Shifts the synthesis burden back to the reader; minimal migration; duplicated prose persists,2,4,3,3,3,4,5,65.2,65.6,64.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-07-10,architecture,Source-first listening library,source and trust rail everywhere,"canonical shows, episodes, source links","Shifts the synthesis burden back to the reader; inline caveat, full diagnostics on demand",2,5,4,4,3,4,3,72.0,74.4,72.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-08-01,architecture,Evidence-first research ledger,retain four-tab editorial shell,approved claims and source context,Excellent auditability; weak two-minute orientation; reuse stable routes and typography,2,5,3,5,4,3,4,73.6,72.0,77.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-08-02,architecture,Evidence-first research ledger,briefing plus persistent desktop index,approved claims and source context,Excellent auditability; weak two-minute orientation; desktop split pane; mobile sequential fallback,2,5,3,5,4,3,3,72.0,70.8,76.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-08-03,architecture,Evidence-first research ledger,single long research canvas,approved claims and source context,Excellent auditability; weak two-minute orientation; in-page anchors but scroll burden,2,5,2,5,3,3,3,67.2,64.4,71.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-08-04,architecture,Evidence-first research ledger,two-minute/deep-research modes,approved claims and source context,Excellent auditability; weak two-minute orientation; remember mode; avoid duplicating content,2,5,4,5,4,3,3,74.8,75.6,77.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-08-05,architecture,Evidence-first research ledger,comparison-led navigation,approved claims and source context,Excellent auditability; weak two-minute orientation; comparison requires proposition contract,2,5,2,5,5,3,3,71.2,67.6,77.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-08-06,architecture,Evidence-first research ledger,timeline as secondary workspace,approved claims and source context,Excellent auditability; weak two-minute orientation; date scope persists across entities,2,5,3,5,4,3,3,72.0,70.8,76.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-08-07,architecture,Evidence-first research ledger,universal search as default entry,approved claims and source context,Excellent auditability; weak two-minute orientation; unknown-unknown discovery becomes harder,2,5,2,5,4,3,3,69.2,66.0,74.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-08-08,architecture,Evidence-first research ledger,customizable landing panels,approved claims and source context,Excellent auditability; weak two-minute orientation; preferences and competing priorities,2,5,2,5,4,2,3,67.2,63.6,73.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-08-09,architecture,Evidence-first research ledger,preserve current card grid exactly,approved claims and source context,Excellent auditability; weak two-minute orientation; minimal migration; duplicated prose persists,2,5,2,4,4,3,5,69.6,66.4,72.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-08-10,architecture,Evidence-first research ledger,source and trust rail everywhere,approved claims and source context,"Excellent auditability; weak two-minute orientation; inline caveat, full diagnostics on demand",2,5,3,5,4,3,3,72.0,70.8,76.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-09-01,architecture,Personal watchlist workspace,retain four-tab editorial shell,"private preference store, approved change events",Setup and account persistence conflict with public zero-setup access; reuse stable routes and typography,4,4,4,4,4,4,2,76.8,77.6,77.6,Requires private preference/delivery infrastructure; no external sending enabled,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-09-02,architecture,Personal watchlist workspace,briefing plus persistent desktop index,"private preference store, approved change events",Setup and account persistence conflict with public zero-setup access; desktop split pane; mobile sequential fallback,4,4,4,5,4,4,1,78.0,78.4,80.4,Requires private preference/delivery infrastructure; no external sending enabled,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-09-03,architecture,Personal watchlist workspace,single long research canvas,"private preference store, approved change events",Setup and account persistence conflict with public zero-setup access; in-page anchors but scroll burden,4,4,3,5,3,4,1,73.2,72.0,76.0,Requires private preference/delivery infrastructure; no external sending enabled,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-09-04,architecture,Personal watchlist workspace,two-minute/deep-research modes,"private preference store, approved change events",Setup and account persistence conflict with public zero-setup access; remember mode; avoid duplicating content,4,4,5,5,4,4,1,80.8,83.2,82.0,Requires private preference/delivery infrastructure; no external sending enabled,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-09-05,architecture,Personal watchlist workspace,comparison-led navigation,"private preference store, approved change events",Setup and account persistence conflict with public zero-setup access; comparison requires proposition contract,4,4,3,4,5,4,1,74.4,73.2,77.6,Requires private preference/delivery infrastructure; no external sending enabled,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-09-06,architecture,Personal watchlist workspace,timeline as secondary workspace,"private preference store, approved change events",Setup and account persistence conflict with public zero-setup access; date scope persists across entities,4,4,4,5,4,4,1,78.0,78.4,80.4,Requires private preference/delivery infrastructure; no external sending enabled,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-09-07,architecture,Personal watchlist workspace,universal search as default entry,"private preference store, approved change events",Setup and account persistence conflict with public zero-setup access; unknown-unknown discovery becomes harder,4,4,3,5,4,4,1,75.2,73.6,78.8,Requires private preference/delivery infrastructure; no external sending enabled,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-09-08,architecture,Personal watchlist workspace,customizable landing panels,"private preference store, approved change events",Setup and account persistence conflict with public zero-setup access; preferences and competing priorities,4,4,3,4,4,3,1,70.4,69.2,73.6,Requires private preference/delivery infrastructure; no external sending enabled,Trust and publication gates in 01-goals-and-rubric.md apply before release
ARC-09-09,architecture,Personal watchlist workspace,preserve current card grid exactly,"private preference store, approved change events",Setup and account persistence conflict with public zero-setup access; minimal migration; duplicated prose persists,4,4,3,3,4,4,3,72.8,72.0,73.2,Requires private preference/delivery infrastructure; no external sending enabled,Trust and publication gates in 01-goals-and-rubric.md apply before release
